ARTICULO,NE_URDIMBRE,NE_TRAMA,MAT_U,MAT_T,TITULO_U,TITULO_T1,NUM_CABOS_U,NUM_CABOS_T1,MEZCLA_U,MEZCLA_T1,ID_LIGAMENTO,LIGAMENTO_FONDO,LIGAMENTO_ORILLO,DIENTES/CM_PEINE,HILOS/DIENTE_FONDO,HILOS/DIENTE_ORILLO,ANCHO_PEINE,ANCHO_CRUDO,%E_URDIMBRE,HILOS_FONDO,HILOS_ORILLO,TOTAL_HILOS/ANCHO_CRUDO,PASADAS/CM_T1,TOTAL_PASADAS,GR/MTL_U,GR/MTL_T1,TOTAL_GR/MTL,RPM,FACT_COB_U,FACT_COB_T,FACT_COB_TOTAL_TEO,FACT_COB_TOTAL_REAL,TUPIDEZ,COLORANTE_BLANCO_T,COLORANTE_BLANCO_U,COLORANTE_CRUDO_T,COLORANTE_CRUDO_U,COLORANTE_OTROS_T,COLORANTE_OTROS_U,COLORANTE_REACTIVO_T,COLORANTE_REACTIVO_U,COLORANTE_TINA_T,COLORANTE_TINA_U,LUMINOSIDAD_T_1,LUMINOSIDAD_U_1,LUMINOSIDAD_T_2,LUMINOSIDAD_U_2,LUMINOSIDAD_T_3,LUMINOSIDAD_U_3,LUMINOSIDAD_T_4,LUMINOSIDAD_U_4,LUMINOSIDAD_T_5,LUMINOSIDAD_U_5,LUMINOSIDAD_T_6,LUMINOSIDAD_U_6,No. formula,TIPO,TCDREC,PROD_21020001,PROD_21020002,PROD_21020003,PROD_21020004,PROD_21020005,PROD_21020006,PROD_21020007,PROD_21020009,PROD_21020011,PROD_21020012,PROD_21020013,PROD_21020014,PROD_21040004,PROD_21040011,PROD_21040012,AGUA    ,DISENO,COMBINACION,Metros,Telar,Fc.Corte,Lt.Urdimbre,LT_HILADO,Ne_prom,CV% Ne_prom,cN/tex_prom,TPI_prom,FT_prom,CV% TPI_prom,E%_prom,CV% E_prom,CV%R_prom,CVm%_prom,I_prom,PD(-40%)_prom,PD(-50%)_prom,PG(+35%)_prom,PG(+50%)_prom,NEPS(+140%)_prom,NEPS(+200%)_prom,H_prom,Sh_prom,var_Ne_prom,var_cN/tex_prom,var_TPI_prom,var_E%_prom,%falla_R_prom,%falla_E_prom,NUM_COLORES_U,NUM_COLORES_T,PROD_2102,PROD_2104,PORC_PASADAS/CM_T1,PORC_GR/MTL_U,PORC_GR/MTL_T1,TELAR,MONTAJE,FECHA,CMPX DE PARO POR URDIMBRE,METROS TOTALES,MAQUINA_PINZAS
M2070220,50/1 UDA.AP.,50/1 UDA.AP.,M2,7,50.0,50.0,1.0,1.0,UDA,UDA,0,Dobby          ,Matt 2/2       ,14.0,2.0,4.0,180.8,170.0,4.2,7392.0,96.0,37.79,37.79,37.79,92.39,84.88,178.6,700.0,15.81,13.58,29.39,29.39,1.0,0.05263157894736842,0.036196650459211235,0.4736842105263158,0.4819016747703944,0.4736842105263158,0.4819016747703944,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320395,33/01,255,205,2020-12-22,9507999,9507999.0,50.16666666666666,1.1633333333333329,19.11,30.84333333333333,4.363333333333333,1.856666666666667,5.91,10.99666666666666,9.45,14.11666666666667,1.17,246.33333333333331,11.0,566.0,70.66666666666667,450.0,96.66666666666669,4.566666666666666,1.186666666666667,0.3523987245333333,3.269461837508334,0.3283557082736667,0.4234109013416667,0.4757115786648951,0.08510084619122021,3,3,0.0,0.0,1.0,0.5173012318029115,0.4752519596864502,205,53,2020-12-22,8.50166654586792,328,1
M2070224,60/2 A91.AP.,150/144 1PSSP,M2,7,60.0,60.0,2.0,2.0,A91,A91,0,Dobby          ,Matt 2/2       ,10.0,4.0,4.0,190.0,175.0,10.5,7456.0,144.0,31.5,31.5,31.5,163.84,102.64,269.86,400.0,20.12,14.76,34.88,34.88,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,265,207,2020-12-19,9650165,9650165.0,30.8,2.2,18.97,19.95,1.82,3.64,4.86,13.4,13.8,10.72,1.21,8.0,0.0,71.0,5.0,159.0,30.0,5.68,1.45,0.4591417600000001,6.853190979599999,0.5273373923999999,0.4241135376,0.5045716755137258,0.5851064040552747,0,0,0.0,0.0,1.0,0.6071296227673608,0.3803453642629511,207,54,2020-12-19,3.4499999284744263,315,1
M2010211,40/2 TE2.AC.,20/1 PY2.CP.,M2,1,40.0,40.0,2.0,2.0,TE2,TE2,0,Tafetan        ,Tafetan        ,11.0,2.0,3.0,190.0,160.0,6.0,4092.0,132.0,26.21,26.21,26.21,128.42,151.16,284.1,400.0,15.0,14.89,29.89,29.89,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,268,214,2020-12-15,250184,250184.0,40.26857142857143,1.448571428571429,19.83571428571429,27.412857142857142,4.3342857142857145,1.9928571428571429,7.4071428571428575,10.92142857142857,9.731428571428571,15.575714285714291,1.447142857142857,259.4285714285714,9.0,1325.0,302.2857142857143,2043.2857142857142,599.0,4.968571428571429,1.2757142857142858,0.3731409418365715,3.746355149064858,0.3125399829275715,0.6539527076117144,0.3366268803972377,0.00270056312337262,0,0,0.0,0.0,1.0,0.4520239352340724,0.5320661738824357,214,7,2020-12-14,5.475000008940697,315,1
M2070196,40/1 PA2.KP.,40/1 PA2.KP.,M2,7,40.0,40.0,1.0,1.0,PA2,PA2,0,Dobby          ,Matt 2/2       ,18.0,2.0,4.0,187.1,174.0,7.8,6678.0,112.0,29.95,29.95,29.95,106.84,85.08,193.77,400.0,15.67,12.03,27.7,27.7,1.0,0.327,0.3531876683627657,0.19166666666666668,0.19170906914097574,0.4813333333333333,0.4551032624962586,0.0,0.0,0.0,0.0,0.5186666666666667,0.5448967375037415,0.0,0.0,0.4813333333333333,0.4551032624962586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320384,33/01,221,213,2020-12-13,530561,530561.0,40.26857142857143,1.448571428571429,19.83571428571429,27.412857142857142,4.3342857142857145,1.9928571428571429,7.4071428571428575,10.92142857142857,9.731428571428571,15.575714285714291,1.447142857142857,259.4285714285714,9.0,1325.0,302.2857142857143,2043.2857142857142,599.0,4.968571428571429,1.2757142857142858,0.3731409418365715,3.746355149064858,0.3125399829275715,0.6539527076117144,0.3366268803972377,0.00270056312337262,3,3,0.0,0.0,1.0,0.5513753419001909,0.4390772565412602,213,51,2020-12-11,10.100000381469727,321,1
M2010212,40/1 AD3.AP.,16/1 UYY.CC.,M2,1,40.0,40.0,1.0,1.0,AD3,AD3,0,Tafetan        ,Matt 2/2       ,16.0,2.0,3.0,190.0,175.0,7.5,5984.0,144.0,23.0,23.0,23.0,95.42,165.81,263.63,400.0,14.06,14.6,28.66,28.66,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320388,21/01,201,202,2020-12-12,542204,542204.0,40.066666666666656,1.123333333333333,22.43666666666667,23.17166666666667,3.6633333333333336,2.2583333333333333,5.965,7.7316666666666665,7.566666666666666,10.405,0.9716666666666668,55.83333333333334,1.333333333333333,175.83333333333331,15.16666666666667,169.5,43.16666666666666,5.071666666666667,1.188333333333333,0.2089060565666667,3.133724167975,0.2813775305748333,0.217403048426,0.02489745489333489,0.01927328602187755,2,1,0.0,0.0,1.0,0.3619466676781853,0.6289496643022418,202,8,2020-12-12,3.665000081062317,305,1
M2010213,60/2 A91.AP.,16/1 UYY.CC.,M2,1,60.0,60.0,2.0,2.0,A91,A91,0,Tafetan        ,Tafetan        ,8.0,4.0,4.0,190.0,165.0,6.0,5984.0,96.0,21.29,21.29,21.29,125.2,153.48,280.94,400.0,17.07,13.52,30.59,30.59,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,260,209,2020-12-07,9650165,9650165.0,30.8,2.2,18.97,19.95,1.82,3.64,4.86,13.4,13.8,10.72,1.21,8.0,0.0,71.0,5.0,159.0,30.0,5.68,1.45,0.4591417600000001,6.853190979599999,0.5273373923999999,0.4241135376,0.5045716755137258,0.5851064040552747,0,0,0.0,0.0,1.0,0.4456467573147291,0.5463088203886951,209,9,2020-12-05,4.599999904632568,307,1
M201N222,50/1 PA2.KP.,50/1 PA2.KP.,M2,1,50.0,50.0,1.0,1.0,PA2,PA2,N,Tafetan        ,Tafetan        ,20.0,2.0,3.0,190.0,181.0,7.0,7536.0,96.0,36.0,36.0,36.0,95.62,83.05,179.99,720.0,15.16,12.93,28.09,28.09,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320399,22/01,272,214,2020-12-07,230008,230008.0,50.438,1.1048,24.70246000000001,28.0544,3.967491296430698,2.5322,5.459083613333332,7.9633,7.788133333333333,12.2346,1.0764,61.84399999999999,1.11,151.496,8.151999999999997,110.97399999999999,21.614,3.128200000000001,0.7323999999999998,0.325242494364,3.7068515259390247,0.5251938967448201,0.1890935991800771,0.005209656309706251,0.19294339110973,2,2,0.0,0.0,1.0,0.531251736207567,0.4614145230290571,214,12,2020-12-07,7.369999980926512,640,1
M2060189,30/1 AK2.AP.,16/1 UYY.CC.,M2,6,30.0,30.0,1.0,1.0,AK2,AK2,0,Oxford         ,Oxford         ,12.0,3.0,4.0,190.0,165.0,11.1,6696.0,192.0,20.0,20.0,20.0,148.13,144.18,296.91,400.0,19.33,12.7,32.03,32.03,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,261,213,2020-12-06,530615,530615.0,29.9,1.01,20.3,23.21,4.24,1.49,5.93,8.41,5.94,10.4,1.27,5.0,0.0,43.0,5.0,74.0,17.0,5.71,1.26,0.0911979601,1.4540018724000001,0.11959769724099999,0.248714656369,0.1404935559389403,0.03110472199242427,0,0,0.0,0.0,1.0,0.4989053922063925,0.4856016974840861,213,30,2020-12-05,7.914999961853027,357,1
M2070195,40/2 UW2.AP.,20/1 UW2.AP.,M2,7,40.0,40.0,2.0,2.0,UW2,UW2,0,Dobby          ,Tafetan        ,13.0,3.0,4.0,164.5,158.0,10.6,6357.0,80.0,22.7,22.7,22.7,209.77,113.84,326.51,500.0,23.12,12.9,36.02,36.02,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,275,155,2020-12-05,250122,250122.0,19.233333333333327,1.3,21.28,22.29166666666667,4.999847997689528,2.551666666666666,12.95,13.9,9.96,10.526666666666669,1.478333333333333,3.6333333333333333,0.01666666666666667,67.08333333333333,3.716666666666667,19.55,3.016666666666667,6.686666666666667,1.65,0.06376815448333333,4.492229382144003,0.3258585138995,3.2401800025,0.141023678254147,5.014575019330616e-06,0,0,0.0,0.0,1.0,0.6424611803620104,0.3486570089736915,155,50,2020-12-05,1.5033333698908489,275,0
M201N215,70/1 A91.AP.,70/1 A91.AP.,M2,1,70.0,70.0,1.0,1.0,A91,A91,N,Tafetan        ,Oxford         ,23.0,2.0,4.0,186.8,178.0,10.8,8526.0,136.0,48.0,48.0,48.0,80.56,77.8,159.73,700.0,14.78,14.57,29.35,29.35,1.0,0.0,0.0,0.3333333333333333,0.32458401687368177,0.0,0.0,0.0,0.0,0.6666666666666666,0.6754159831263182,0.3333333333333333,0.32458401687368177,0.0,0.0,0.3333333333333333,0.3374736348722756,0.3333333333333333,0.3379423482540427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320390,33/01,263,213,2020-12-03,542096,542096.0,70.2,1.56,22.23,38.57,4.61,1.94,5.93,9.9,10.08,13.44,0.62,190.8,9.0,372.0,47.0,520.0,136.0,4.03,1.13,1.1992878143999999,5.021112934656,0.559890034564,0.3446511849,0.07472741680307653,0.056581139061457675,3,3,0.0,0.0,1.0,0.5043510924685407,0.4870719338884367,213,11,2020-12-03,24.060000101725265,313,1
M2040164,40/1 UW2.AP.,41.5/2 2NLS0.,M2,4,40.0,40.0,1.0,1.0,UW2,UW2,0,Sarga 2/2      ,Repp 2/2       ,13.0,3.0,4.0,189.9,170.0,7.6,7293.0,152.0,38.0,38.0,38.0,116.42,68.48,187.46,400.0,17.6,12.45,30.05,30.05,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,239,209,2020-12-03,530539,530539.0,39.95666666666667,1.386666666666667,13.92666666666667,30.585,4.753333333333333,2.31,11.73166666666667,36.94166666666667,13.53333333333333,14.88333333333333,1.195,425.5,31.33333333333333,587.5,65.16666666666667,137.0,30.5,5.285,1.231666666666667,0.3106879789926667,4.144723257748333,0.5345316652786667,19.0046434379875,0.9880074385196784,0.061326910645766564,0,0,0.0,0.0,1.0,0.6210391550197375,0.3653045983143071,209,27,2020-12-02,6.790000057220459,293,1
M2020186,30/1 AL1.AP.,16/1 ZWA.CC.,M2,2,30.0,30.0,1.0,1.0,AL1,AL1,0,Sarga 2/1      ,Tafetan        ,9.0,4.0,4.0,190.0,165.0,6.0,6696.0,144.0,22.0,22.0,22.0,140.09,158.6,301.95,400.0,19.24,13.98,33.22,33.22,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,262,214,2020-12-02,530595,530595.0,30.2,1.6,23.0,23.34,4.26,4.03,5.62,9.82,6.42,10.66,1.28,6.0,0.0,93.0,8.0,204.0,42.0,5.48,1.24,0.23348224,2.18034756,0.8847321224040001,0.304575949456,0.003375070575479551,0.1306286272580507,0,0,0.0,0.0,1.0,0.4639509852624607,0.5252525252525253,214,17,2020-12-01,8.279999732971191,312,1
M2070188,40/2 AK2.AP.,41.5/2 2NLS0.,M2,7,40.0,40.0,2.0,2.0,AK2,AK2,0,Dobby          ,Repp 2/2       ,14.0,3.0,4.0,190.0,175.0,8.0,7852.0,168.0,35.0,35.0,35.0,251.78,63.1,320.4,400.0,26.01,17.31,43.32,43.32,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,261,202,2020-12-01,650203,650203.0,20.2,0.7,21.17,16.24,2.61,3.63,7.17,5.0,5.5,8.84,1.23,0.0,0.0,13.0,1.0,11.0,3.0,7.37,1.97,0.01999396,1.3557109225,0.3475243981439999,0.12852225,0.0311818680960207,7.108704950059158e-10,0,0,0.0,0.0,1.0,0.7858302122347067,0.19694132334581774,202,49,2020-12-01,2.5033333698908486,308,1
M2020190,30/1 AL1.AP.,20/1 PY2.CP.,M2,2,30.0,30.0,1.0,1.0,AL1,AL1,0,Sarga 2/1      ,Tafetan        ,9.0,4.0,4.0,190.0,165.0,6.0,6696.0,144.0,29.0,29.0,29.0,140.09,167.25,310.6,400.0,19.24,16.48,35.72,35.72,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,230,213,2020-11-28,9550165,9550165.0,30.4,1.02,23.83333333333333,22.56333333333333,4.116666666666667,1.96,5.823333333333332,7.293333333333334,6.79,10.54,1.22,6.0,0.0,72.0,7.0,162.66666666666669,35.0,5.363333333333333,1.25,0.09629603283333332,2.618940273825666,0.195586153187,0.1805648525883334,0.001547213535138797,0.0384531284705662,0,0,0.0,0.0,1.0,0.4510302640051513,0.5384739214423696,213,18,2020-11-27,6.339999914169312,305,1
M2070177,40/2 FV4.AC.,34/2 FV4.AC.,M2,7,40.0,40.0,2.0,2.0,FV4,FV4,0,Dobby          ,Tafetan        ,14.0,3.0,3.0,189.3,175.0,10.0,7892.0,60.0,20.0,20.0,20.0,258.68,135.21,396.06,500.0,25.78,12.32,38.1,38.1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,400,151,2020-11-27,250188,250188.0,40.31940000000001,1.2752479859644381,27.28,27.67133333333334,4.3781578599601785,1.806785633844066,11.536,9.7,10.777999999999999,12.342,1.244,75.0,3.2,75.2,7.2,72.8,20.0,4.762,1.05,0.285115777777778,8.671288673437202,0.253230454069867,1.2569685711088001,0.0030334319845817287,2.8039366807130934e-08,0,0,0.0,0.0,1.0,0.6531333636317729,0.3413876685350705,151,47,2020-11-27,0.8799999654293059,603,0
M2010049,60/1 PA2.KP.,60/1 AYH.CP.,M2,1,60.0,60.0,1.0,1.0,PA2,PA2,0,Tafetan        ,Tafetan        ,18.0,2.0,4.0,190.0,175.0,5.0,6788.0,104.0,35.2,35.2,35.2,70.26,67.67,139.09,720.0,12.92,11.54,24.46,24.46,1.0,0.3226982680036463,0.3231312536786345,0.0,0.0,0.0,0.0,0.6773017319963537,0.6768687463213655,0.0,0.0,0.3226982680036463,0.3231312536786345,0.0,0.0,0.14554846551200246,0.14479105356091818,0.5317532664843513,0.5320776927604474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320275,44/01,232,201,2020-11-24,541500,541500.0,60.35,1.095,25.05,32.3875,4.1812082709215455,2.1825,5.5175,7.8,7.899999999999999,12.7425,1.0225,109.65,3.025,192.35,12.1,134.675,29.075,2.565,0.6074999999999999,0.4836595772000001,3.9407867057249986,0.5253749271682501,0.18583314915,0.001681995621369475,0.1295812051225121,4,4,0.0,0.0,1.0,0.5051405564742254,0.4865195197354231,201,1,2020-11-23,5.309999942779541,1400,1
